Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-May-2020 15:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1994   20.1   12.5   19.4   14.8    8.9   10.7    9.2   11.6   14.5   13.5   14.3   18.8    54.5    43.1    31.5    42.3   168.2
1995   19.9   18.7   16.3    7.7   11.2    6.4    9.3    4.6   15.6   12.8   12.7   10.9    57.4    35.2    20.3    41.1   146.1
1996   11.3   14.2    8.2   11.5   11.3    7.7    9.8   11.5    6.4   17.8   17.7    9.5    36.4    31.0    29.0    42.0   137.1
1997    5.7   18.0   10.6    6.3   12.6   15.4   11.5   11.7    8.8   10.0   17.4   16.5    33.2    29.5    38.6    36.2   144.5
1998   15.7    9.8   13.6   19.1    7.6   17.1   14.1   10.8   12.7   19.4   16.1   18.0    42.0    40.3    42.1    48.2   174.1
1999   19.5   13.7   13.9   13.7   11.7   13.5    7.7   12.4   16.1   12.7   12.8   21.5    51.2    39.3    33.6    41.6   169.3
2000   12.0   18.9    9.8   16.9   12.6   10.2    9.4   13.7   16.0   20.7   21.0   17.3    52.5    39.4    33.3    57.7   178.6
2001   11.8   13.4   14.1   15.8    7.4    9.5   11.6   14.7   13.6   19.0   14.4   11.1    42.5    37.3    35.8    47.1   156.5
2002   16.2   19.7   11.8   10.4   15.9   14.2   14.4   10.3    5.4   16.4   20.3   14.9    47.0    38.1    38.9    42.0   169.8
2003   15.6    7.7    7.7    8.3   16.8   11.4   12.5    5.0    9.2   10.7   15.6   14.2    38.2    32.8    28.9    35.5   134.7
2004   19.9   10.5   12.4   14.9    9.0   12.9   12.4   16.7   13.3   18.8   13.1   13.5    44.6    36.3    42.0    45.2   167.3
2005   14.9   11.9   11.5   13.7   12.7   10.7    8.8   12.1   12.7   15.3   13.8   11.6    40.3    37.9    31.6    41.8   149.7
2006    8.7   10.2   16.1   12.2   16.5    6.6    8.3   14.4   12.9   17.4   17.2   16.3    30.6    44.8    29.3    47.5   156.7
2007   18.8   16.4   11.6    4.0   15.5   15.0   18.0   11.3   10.0    8.1   14.1   13.6    51.5    31.2    44.2    32.2   156.4
2008   20.5    9.8   18.3   15.2    7.1   11.8   13.7   18.3   13.1   16.5   15.3   11.3    43.9    40.6    43.8    45.0   171.0
2009   15.0   10.4   12.0   10.4   13.6    9.1   19.4   15.1    7.5   14.1   22.2   17.1    36.7    36.0    43.6    43.7   165.9
2010   13.8   13.9   11.6    8.5    8.7    6.7   14.0   14.2   13.7   13.1   16.5    9.6    44.8    28.9    34.9    43.4   144.5
2011   13.1   16.0    7.6    5.3   14.2   13.8   10.7   14.4   14.7   15.8   12.0   20.9    38.7    27.1    38.9    42.6   158.6
2012   14.5    8.9    6.3   18.8   10.0   16.8   17.0   16.1   13.6   16.4   16.3   19.8    44.3    35.0    49.8    46.2   174.3
2013   15.7    8.6   10.5   10.3   13.2    9.3    8.5   11.2   11.0   19.2   13.9   18.8    44.1    34.1    28.9    44.2   150.3
2014   23.5   20.3   12.4   11.2   15.5    9.5   10.5   17.1    4.8   18.2   16.3   15.6    62.6    39.0    37.2    39.2   174.8
2015   18.7   11.1   12.8    8.7   15.5    9.2   16.2   14.5    8.5   10.1   20.7   22.2    45.4    37.0    39.9    39.4   168.2
2016   20.7   13.8   12.0   15.1    9.4   14.7   13.1   11.4   13.6    8.3   12.8   11.2    56.7    36.6    39.3    34.7   156.2
2017   12.3   13.9   14.5    7.3    9.8   13.0   14.9   14.9   18.1   13.9   15.4   17.0    37.4    31.6    42.8    47.3   164.9
2018   18.4   12.6   16.7   13.6    7.8    4.9    7.8   13.4   12.8   11.9   14.7   16.0    48.0    38.0    26.2    39.4   150.6
2019   10.9   10.2   16.0    7.7   10.7   14.5   11.0   15.7   15.4   17.4   17.5   17.6    37.1    34.4    41.2    50.3   164.6
2020   14.9   21.5   11.8    5.8                                                            54.1                                
